icao,"name",lat,lon,runways,ils
00C,"Animas Air Park",37.203178,-107.8691945,1,0
00CA,"Goldstone Gts",35.354833,-116.8854165,1,0
00F,"Broadus Airport",45.472528,-105.453695,1,0
00FL,"River Oak",27.23087972,-80.96923056,1,0
00I,"Chapman Memorial Field",40.29457658,-82.731757725,2,0
00IL,"Hammer",41.97836333,-89.56038834,1,0
00IS,"Hayengas Cant Find Farms",40.025595,-89.12286473,1,0
00K,"Redpath Rla",38.18199361,-89.80843501,1,0
00KS,"Hayden Farm",38.72778666,-94.93051973,1,0
00L,"Lyall-roberts",33.32447833,-116.99030501,1,0
00M,"Thigpen Fld",31.9536805,-89.2352775,1,0
00MN,"Battle Lake Municipal",46.29996027,-95.70032417,1,0
00N,"Bucks",39.47317055,-75.18518473,1,0
00NC,"North Raleigh",36.08515027,-78.37138556,1,0
00Q,"Thayer Aviation",39.07489388,-121.91774751,1,0
00R,"Livingston Muni",30.6858585,-95.017932,1,0
00S,"Mc Kenzie Bridge State",44.18404800,-122.08743300,1,0
00TS,"Alpine Range",32.60763555,-97.24195778,1,0
00UT,"Clear Creek Ranch",37.2475,-112.822225,1,0
00V,"Meadow Lake",38.9481211666667,-104.571195333333,3,0
00W,"Lower Granite State",46.67349222,-117.44268389,1,0
00XS,"L P Askew Farms",33.03342777,-101.93377195,1,0
00Y,"Kapaun-wilson Field",45.55051861,-96.45145,1,0
01A,"Purkeypile",62.94361083,-152.27001639,1,0
01B,"Woodstock",41.92148638,-71.95285084,1,0
01C,"Grant",43.34168861,-85.7750475,1,0
01FL,"Cedar Knoll Flying Ranch",28.78193611,-81.15922778,1,0
01G,"Perry Warsaw",42.74184575,-78.0499425,2,0
01H,"Mc Christy",39.64309694,-89.14452612,1,0
01I,"August Acres",40.16256277,-82.78184112,1,0
01II,"Myers Field",39.88504388,-86.50666667,1,0
01J,"Hilliard Airpark",30.6880125,-81.90594389,1,0
01K,"Caldwell Municipal",37.03613583,-97.58643834,1,0
01KS,"Flying N Ranch",38.54056777,-97.00335,1,0
01LA,"Barham",32.63902694,-91.77373612,1,0
01LL,"Schumaier Rla",38.12583333,-89.46388889,1,0
01M,"Tishomingo Co",34.491667,-88.201111,1,0
01MT,"Crystal Lakes Resort",48.7891335,-114.8804225,1,0
01NC,"Topsail Airpark",34.47527777,-77.58138889,1,0
01NE,"Detour",40.84627578,-100.65452097,1,0
01OH,"Gillmor",41.28283083,-83.14797501,1,0
01OK,"Lawrence",35.29449944,-98.63645445,1,0
01OR,"Red & White Flying Service",43.11930666,-121.04471889,1,0
01PN,"Bierly - Personal Use",40.93061694,-77.73888973,1,0
01TX,"Mims Farm",32.38764194,-96.87749862,2,0
01U,"Duckwater",38.85159972,-115.63364695,2,0
01W,"Sawyer",37.99067861,-75.59187112,2,0
02A,"Gragg Wade Fld",32.850483,-86.611436,1,0
02AK,"Rustic Wilderness",61.87530527,-150.09474001,1,0
02C,"Capitol",43.0888991666667,-88.1786558333333,3,0
02CL,"Conover Air Lodge",34.76109194,-119.05899306,1,0
02CO,"Mc Cullough",37.64333472,-106.04697001,1,0
02F,"Smith Field",32.73762916,-96.42804056,1,0
02G,"Columbiana Co",40.67400006,-080.64259466,1,0
02GA,"Doug Bolton Field",34.20260805,-83.42904889,2,0
02II,"King",40.06226,-86.21054751,1,0
02IL,"Shissler Farm",40.79642611,-89.98594667,1,0
02K,"Arrowhead",38.696573955,-90.520001035,2,0
02KS,"Jmq Landing",39.22221888,-96.05527056,1,0
