Place,latitude,longitude
'Capetown',-33.9767,18.4244
'Dien Bien Phu',21.38,103.01
'Denver',39.73,-104.98 
'Geirangerfjord',62.1167,6.9833
'Geneva',46.2000,6.15
'Hong Kong',22.3,114.17
'Kabul',34.5333,69.1667
'Lhasa',29.64,91.14
'Machu Picchu',-13.1631,-72.5456 
'Marseille',43.2975,5.3772
'Milano',45.464,9.196
'Mt Everest',27.9881,86.9253
'Nice',43.7028,7.2692
'Oslo',59.9494,10.7564
'Palermo',38.1,13.4
'Portland ME',43.6614,-70.2558
'Portland OR',45.5236,-122.675
'Rekjavik',64.1333,-21.9333
'Rio di Janero',-22.9,-43.24
'San Francisco',37.77,-122.4
'Santa Barbara',34.42,-119.69
'Santiago',-33.45,-70.6667 
'Seattle',47,-124.3 
'Sydney',-33.8683,151.2086
'Tokyo',35.6833,139.7667
'Zurich',47.369,8.538 
